SF	Word	Segmentation	Analysis	Freq
deɰerlerde	değerlerde	deɰer-ler-de	Stem-pl-loc	41
defile	defile	defile	Stem	41
depozito	depozito	depozito	Stem	41
desenleri	desenleri	desen-ler-i	Stem-pl-p3s	41
devletʧi	devletçi	devlet-ʧi	Stem-ci	41
dimdik	dimdik	dimdik	Stem	41
dinɑmizmi	dinamizmi	dinɑmizm-i	Stem-p3s	41
dinden	dinden	din-den	Stem-abl	41
dinlemei	dinlemeyi	dinle-me-i	Stem-vn:inf-acc	41
diski	diski	disk-i	Stem-p3s	41
doɰuun	doğunun	doɰu-un	Stem-gen	41
dokudɑ	dokuda	doku-dɑ	Stem-loc	41
dokunɑn	dokunan	dokun-ɑn	Stem-part:pres	41
dostlɑrɯɯn	dostlarının	dost-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	41
dojumsuz	doyumsuz	dojum-suz	Stem-siz	41
dut	dut	dut	Stem	41
dujurɑn	duyuran	dujur-ɑn	Stem-part:pres	41
eʤzɑnein	eczanenin	eʤzɑne-in	Stem-gen	41
edebijɑttɑ	edebiyatta	edebijɑt-tɑ	Stem-loc	41
eklemee	eklemeye	ekle-me-e	Stem-vn:inf-dat	41
emekʧilerin	emekçilerin	emek-ʧi-ler-in	Stem-ci-pl-gen	41
emperjɑlizmin	emperyalizmin	emperjɑlizm-in	Stem-gen	41
empoze	empoze	empoze	Stem	41
enfeksijonlɑrdɑ	enfeksiyonlarda	enfeksijon-lɑr-dɑ	Stem-pl-loc	41
enʒektør	enjektör	enʒektør	Stem	41
ergene	ergene	ergene	Stem	41
eriʃ	eriş	er-iʃ	Stem-vn:yis	41
esɑsie	esasiye	esɑsi-e	Stem-dat	41
esere	esere	eser-e	Stem-dat	41
etiketleri	etiketleri	etiket-ler-i	Stem-pl-p3s	41
evme	evime	ev-m-e	Stem-p1s-dat	41
fɑnɑtik	fanatik	fɑnɑtik	Stem	41
ferɑgɑt	feragat	ferɑgɑt	Stem	41
fiʃin	fişin	fiʃ-in	Stem-gen	41
fijɑtlɑrmɯzɑ	fiyatlarımıza	fijɑt-lɑr-mɯz-ɑ	Stem-pl-p1p-dat	41
fijɑtlɑrdɑ	fiyatlarda	fijɑt-lɑr-dɑ	Stem-pl-loc	41
gøklere	göklere	gøk-ler-e	Stem-pl-dat	41
gynlerdeki	günlerdeki	gyn-ler-de-ki	Stem-pl-loc-ki	41
geʧirdikten	geçirdikten	geʧir-dik-ten	Stem-vn:past-abl	41
geliʃeʤek	gelişecek	geliʃ-eʤek	Stem-part:fut	41
gelmei	gelmeyi	gel-me-i	Stem-vn:inf-acc	41
gemilere	gemilere	gemi-ler-e	Stem-pl-dat	41
gensoru	gensoru	gensoru	Stem	41
gizleme	gizlemek	giz-le-me	Stem-la-vn:inf	41
greve	greve	grev-e	Stem-dat	41
hykymetlere	hükümetlere	hykymet-ler-e	Stem-pl-dat	41
hɑndɑn	handan	hɑn-dɑn	Stem-abl	41
hɑtɯrɑlɑrɯ	hatıraları	hɑtɯrɑ-lɑr-ɯ	Stem-pl-p3s	41
helvɑ	helva	helvɑ	Stem	41
hidɑjet	hidayet	hidɑjet	Stem	41
hissein	hissenin	hisse-in	Stem-gen	41
hudut	hudut	hudut	Stem	41
iʧtimɑ	içtima	iʧtimɑ	Stem	41
iʃɑretiin	işaretinin	iʃɑret-i-in	Stem-p3s-gen	41
iʃtɑh	iştah	iʃtɑh	Stem	41
ibrɑ	ibra	ibrɑ	Stem	41
iktidɑrlɑr	iktidarlar	iktidɑr-lɑr	Stem-pl	41
ilɑʧlɑrdɑn	ilaçlardan	ilɑʧ-lɑr-dɑn	Stem-pl-abl	41
ilkokulu	ilkokulu	ilkokul-u	Stem-p3s	41
imzɑlɑmɑ	imzalamak	imzɑ-lɑ-mɑ	Stem-la-vn:inf	41
ipleri	ipleri	ip-ler-i	Stem-pl-p3s	41
isimlere	isimlere	isim-ler-e	Stem-pl-dat	41
ijiden	iyiden	iji-den	Stem-abl	41
kɯrɑrɑk	kırarak	kɯr-ɑrɑk	Stem-cv:erek	41
kɯsɯmdɑki	kısımdaki	kɯsɯm-dɑ-ki	Stem-loc-ki	41
kysur	küsur	kysur	Stem	41
kɑʧɑrɑk	kaçarak	kɑʧ-ɑrɑk	Stem-cv:erek	41
kɑhvein	kahvenin	kɑhve-in	Stem-gen	41
kɑlɯtɯm	kalıtım	kɑlɯtɯm	Stem	41
kɑnɑllɑrɑ	kanallara	kɑnɑl-lɑr-ɑ	Stem-pl-dat	41
kɑplɑrɯ	kapları	kɑp-lɑr-ɯ	Stem-pl-p3s	41
kɑrɑrnɑmee	kararnameye	kɑrɑrnɑme-e	Stem-dat	41
kɑse	kase	kɑse	Stem	41
kɑtɑlogu	katalogu	kɑtɑlog-u	Stem-p3s	41
kɑvrɑmlɑrɑ	kavramlara	kɑvrɑm-lɑr-ɑ	Stem-pl-dat	41
kekik	kekik	kekik	Stem	41
kiliseler	kiliseler	kilise-ler	Stem-pl	41
kilogrɑm	kilogram	kilogrɑm	Stem	41
kirlenmein	kirlenmenin	kir-len-me-in	Stem-lan-vn:inf-gen	41
komedi	komedi	komedi	Stem	41
komutɑnlɑrɯ	komutanları	komutɑn-lɑr-ɯ	Stem-pl-p3s	41
konɑʤɑk	konacak	kon-ɑʤɑk	Stem-part:fut	41
konsol	konsol	konsol	Stem	41
konudɑn	konudan	konu-dɑn	Stem-abl	41
kuʃkulu	kuşkulu	kuʃku-lu	Stem-li	41
kullɑnmɑlɑrnɯ	kullanmalarını	kullɑn-mɑ-lɑr-n-ɯ	Stem-vn:inf-pl-p2s-acc	41
kumɑʃlɑrɯn	kumaşların	kumɑʃ-lɑr-ɯn	Stem-pl-gen	41
kursijerler	kursiyerler	kursijer-ler	Stem-pl	41
kurultɑjɯn	kurultayın	kurultɑj-ɯn	Stem-gen	41
lɑborɑtuvɑrlɑrɯn	laboratuvarların	lɑborɑtuvɑr-lɑr-ɯn	Stem-pl-gen	41
lige	lige	lig-e	Stem-dat	41
listemize	listemize	liste-miz-e	Stem-p1p-dat	41
myʃterilerden	müşterilerden	myʃteri-ler-den	Stem-pl-abl	41
mynɑkɑʃɑ	münakaşa	mynɑkɑʃɑ	Stem	41
mynɑsebeti	münasebeti	mynɑsebet-i	Stem-p3s	41
mysɑɑdei	müsaadesi	mysɑɑde-i	Stem-p3s	41
mɑɰɑzɑlɑrdɑ	mağazalarda	mɑɰɑzɑ-lɑr-dɑ	Stem-pl-loc	41
mɑɰdurun	mağdurun	mɑɰdur-un	Stem-gen	41
mɑhkumun	mahkumun	mɑhkum-un	Stem-gen	41
mɑlumɑt	malumat	mɑlumɑt	Stem	41
medenijetiin	medeniyetinin	medenijet-i-in	Stem-p3s-gen	41
medjɑɯ	medyası	medjɑ-ɯ	Stem-p3s	41
meskun	meskun	meskun	Stem	41
metodoloʒi	metodoloji	metodoloʒi	Stem	41
metodoloʒii	metodolojisi	metodoloʒi-i	Stem-p3s	41
miktɑrdɑn	miktardan	miktɑr-dɑn	Stem-abl	41
minerɑlleriin	minerallerinin	minerɑl-ler-i-in	Stem-pl-p3s-gen	41
mirɑsʧɯlɑrɯ	mirasçıları	mirɑs-ʧɯ-lɑr-ɯ	Stem-ci-pl-p3s	41
mn	mn	m-n	Stem-p2s	41
muvɑfɑkɑt	muvafakat	muvɑfɑkɑt	Stem	41
nɑfile	nafile	nɑfile	Stem	41
nedenin	nedenin	neden-in	Stem-gen	41
normlɑr	normlar	norm-lɑr	Stem-pl	41
oluʃmɑɑ	oluşmaya	oluʃ-mɑ-ɑ	Stem-vn:inf-dat	41
omuzɑ	omuza	omuz-ɑ	Stem-dat	41
ojundɑn	oyundan	ojun-dɑn	Stem-abl	41
pɑrɑnɯz	paranız	pɑrɑ-nɯz	Stem-p2p	41
pɑjlɑʃɯmɑ	paylaşıma	pɑjlɑʃɯm-ɑ	Stem-dat	41
penʤerelerden	pencerelerden	penʤere-ler-den	Stem-pl-abl	41
pisti	pisti	pist-i	Stem-p3s	41
printer	printer	printer	Stem	41
røle	röle	røle	Stem	41
rɑkɯm	rakım	rɑkɯm	Stem	41
rɑkɑmsɑl	rakamsal	rɑkɑm-sɑl	Stem-sal	41
reʧeteleri	reçeteleri	reʧete-ler-i	Stem-pl-p3s	41
reklɑmɯn	reklamın	reklɑm-ɯn	Stem-gen	41
rektørlykʧe	rektörlükçe	rektør-lyk-ʧe	Stem-lik-ca	41
resimleriin	resimlerinin	resim-ler-i-in	Stem-pl-p3s-gen	41
robotlɑr	robotlar	robot-lɑr	Stem-pl	41
sɯnɯrlɑmɑlɑrɯ	sınırlamaları	sɯnɯrlɑmɑ-lɑr-ɯ	Stem-pl-p3s	41
sɯnɯrlɑrɑ	sınırlara	sɯnɯr-lɑr-ɑ	Stem-pl-dat	41
sɯnɑvsɯz	sınavsız	sɯnɑv-sɯz	Stem-siz	41
søkme	sökme	søk-me	Stem-vn:inf	41
sønyk	sönük	sønyk	Stem	41
søjleʃiler	söyleşiler	søjleʃi-ler	Stem-pl	41
sɑɰlɯktɑ	sağlıkta	sɑɰlɯk-tɑ	Stem-loc	41
sɑnɑtlɑrɯɯn	sanatlarının	sɑnɑt-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	41
sɑntrɑlin	santralin	sɑntrɑl-in	Stem-gen	41
sɑrɯlɑrɑk	sarılarak	sɑrɯl-ɑrɑk	Stem-cv:erek	41
sɑjfɑlɑrmɯzdɑ	sayfalarımızda	sɑjfɑ-lɑr-mɯz-dɑ	Stem-pl-p1p-loc	41
sɑjgɯɯn	saygının	sɑjgɯ-ɯn	Stem-gen	41
sɑzɑn	sazan	sɑzɑn	Stem	41
seʧeneklerin	seçeneklerin	seʧenek-ler-in	Stem-pl-gen	41
seklindeki	seklindeki	sek-li-n-de-ki	Stem-li-p2s-loc-ki	41
sektørmyzyn	sektörümüzün	sektør-myz-yn	Stem-p1p-gen	41
seminerlerde	seminerlerde	seminer-ler-de	Stem-pl-loc	41
seminerlerin	seminerlerin	seminer-ler-in	Stem-pl-gen	41
sevmei	sevmeyi	sev-me-i	Stem-vn:inf-acc	41
sistemmizde	sistemimizde	sistem-miz-de	Stem-p1p-loc	41
sistemnizde	sisteminizde	sistem-niz-de	Stem-p2p-loc	41
sitelerde	sitelerde	site-ler-de	Stem-pl-loc	41
sitenize	sitenize	site-niz-e	Stem-p2p-dat	41
sonuʧlɑrdɑn	sonuçlardan	sonuʧ-lɑr-dɑn	Stem-pl-abl	41
spektrum	spektrum	spektrum	Stem	41
stoku	stoku	stok-u	Stem-acc	41
stresin	stresin	stres-in	Stem-gen	41
tytynlerden	tütünlerden	tytyn-ler-den	Stem-pl-abl	41
tɑvɑdɑ	tavada	tɑvɑ-dɑ	Stem-loc	41
tɑvlɑ	tavla	tɑvlɑ	Stem	41
tɑvsijeler	tavsiyeler	tɑvsije-ler	Stem-pl	41
telɑkki	telakki	telɑkki	Stem	41
telefonlɑrdɑn	telefonlardan	telefon-lɑr-dɑn	Stem-pl-abl	41
temɑtik	tematik	temɑtik	Stem	41
teneffys	teneffüs	teneffys	Stem	41
terɑpi	terapi	terɑpi	Stem	41
terʤihli	tercihli	terʤih-li	Stem-li	41
topluluklɑrɯɯn	topluluklarının	topluluk-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	41
trɑverten	traverten	trɑverten	Stem	41
triljonluk	trilyonluk	triljon-luk	Stem-lik	41
tropik	tropik	tropik	Stem	41
tutɑnɑktɑ	tutanakta	tutɑnɑk-tɑ	Stem-loc	41
tutɑrken	tutarken	tutɑr-ken	Stem-cv:ken	41
tutukluluk	tutukluluk	tutuklu-luk	Stem-lik	41
uʧɑktɑ	uçakta	uʧɑk-tɑ	Stem-loc	41
uɰurdɑ	uğurda	uɰur-dɑ	Stem-loc	41
unsurun	unsurun	unsur-un	Stem-gen	41
usulde	usulde	usul-de	Stem-loc	41
ujgɑrlɯklɑrɯn	uygarlıkların	ujgɑr-lɯk-lɑr-ɯn	Stem-lik-pl-gen	41
ujumɑ	uyuma	uju-mɑ	Stem-vn:inf	41
uzɑjlɑrɯ	uzayları	uzɑj-lɑr-ɯ	Stem-pl-p3s	41
vɑgon	vagon	vɑgon	Stem	41
vurgulɑr	vurgular	vurgu-lɑr	Stem-pl	41
jɯɰmɑ	yığma	jɯɰ-mɑ	Stem-vn:inf	41
jønetimleriin	yönetimlerinin	jønetim-ler-i-in	Stem-pl-p3s-gen	41
jykymlylyklerin	yükümlülüklerin	jykym-ly-lyk-ler-in	Stem-li-lik-pl-gen	41
jyksekokuldɑ	yüksekokulda	jyksekokul-dɑ	Stem-loc	41
jyksekokulmuz	yüksekokulumuz	jyksekokul-muz	Stem-p1p	41
jyzejdeki	yüzeydeki	jyzej-de-ki	Stem-loc-ki	41
jɑklɑʃɑrɑk	yaklaşarak	jɑklɑʃ-ɑrɑk	Stem-cv:erek	41
jɑkut	yakut	jɑkut	Stem	41
jɑpɯʃɑn	yapışan	jɑpɯʃ-ɑn	Stem-part:pres	41
jɑpɯlɑnmɑɯn	yapılanmanın	jɑpɯ-lɑn-mɑ-ɯn	Stem-lan-vn:inf-gen	41
jɑpmɑmɑ	yapmama	jɑp-mɑ-mɑ	Stem-neg-vn:inf	41
jɑrɯk	yarık	jɑrɯk	Stem	41
jɑrgɯʧlɑr	yargıçlar	jɑrgɯʧ-lɑr	Stem-pl	41
jɑrgɯdɑ	yargıda	jɑrgɯ-dɑ	Stem-loc	41
jɑsɑklɑnmɑɯ	yasaklanması	jɑsɑk-lɑn-mɑ-ɯ	Stem-lan-vn:inf-p3s	41
jɑzɯlɑrɑ	yazılara	jɑzɯ-lɑr-ɑ	Stem-pl-dat	41
jɑzɯndɑ	yazında	jɑzɯn-dɑ	Stem-loc	41
jorumlɑmɑ	yorumlamak	jorum-lɑ-mɑ	Stem-la-vn:inf	41
zɑpt	zapt	zɑpt	Stem	41
ʧerʧeveli	çerçeveli	ʧerʧeve-li	Stem-li	40
ʧoɰɑlɑn	çoğalan	ʧoɰɑl-ɑn	Stem-part:pres	40
ʧoɰulʤuluk	çoğulculuk	ʧoɰulʤu-luk	Stem-lik	40
øɰrenmeleri	öğrenmeleri	øɰren-me-ler-i	Stem-vn:inf-pl-acc	40
øɰretmee	öğretmeye	øɰret-me-e	Stem-vn:inf-dat	40
øtede	ötede	øte-de	Stem-loc	40
ʃehitler	şehitler	ʃehit-ler	Stem-pl	40
ʃubeleriin	şubelerinin	ʃube-ler-i-in	Stem-pl-p3s-gen	40
ʃubemize	şubemize	ʃube-miz-e	Stem-p1p-dat	40
ʃule	şule	ʃule	Stem	40
yʧyyn	üçünün	yʧ-y-yn	Stem-p3s-gen	40
yʧgeni	üçgeni	yʧgen-i	Stem-p3s	40
ɑʧɯm	açım	ɑʧɯm	Stem	40
ɑɰlɑɑrɑk	ağlayarak	ɑɰlɑ-ɑrɑk	Stem-cv:erek	40
ɑhlɑklɯ	ahlaklı	ɑhlɑk-lɯ	Stem-li	40
ɑkɑsjɑ	akasya	ɑkɑsjɑ	Stem	40
ɑmirɑl	amiral	ɑmirɑl	Stem	40
ɑnɑliziin	analizinin	ɑnɑliz-i-in	Stem-p3s-gen	40
ɑnlɑʃɑrɑk	anlaşarak	ɑnlɑʃ-ɑrɑk	Stem-cv:erek	40
ɑnlɑɑrɑk	anlayarak	ɑnlɑ-ɑrɑk	Stem-cv:erek	40
ɑnneleri	anneleri	ɑnne-ler-i	Stem-pl-p3s	40
ɑrkɑdɑʃmɑ	arkadaşıma	ɑrkɑdɑʃ-m-ɑ	Stem-p1s-dat	40
ɑjɑrlɑnɑn	ayarlanan	ɑjɑr-lɑn-ɑn	Stem-lan-part:pres	40
ɑjɑzmɑ	ayazma	ɑjɑzmɑ	Stem	40
ɑjdɯnlɑtɑn	aydınlatan	ɑjdɯnlɑt-ɑn	Stem-part:pres	40
ɑjdɯnlɑtmɑ	aydınlatmak	ɑjdɯnlɑt-mɑ	Stem-vn:inf	40
bøbrekler	böbrekler	bøbrek-ler	Stem-pl	40
byrolɑr	bürolar	byro-lɑr	Stem-pl	40
bɑbɑmɯ	babamı	bɑbɑ-m-ɯ	Stem-p1s-acc	40
bɑjɑnɯn	bayanın	bɑjɑn-ɯn	Stem-gen	40
bɑjilerin	bayilerin	bɑji-ler-in	Stem-pl-gen	40
bebekleri	bebekleri	bebek-ler-i	Stem-pl-p3s	40
beledijeden	belediyeden	beledije-den	Stem-abl	40
belirtmete	belirtmekte	belirt-me-te	Stem-vn:inf-loc	40
besleme	beslemek	besle-me	Stem-vn:inf	40
bileʃenlerin	bileşenlerin	bileʃen-ler-in	Stem-pl-gen	40
bilmeli	bilmeli	bil-me-li	Stem-vn:inf-li	40
birikime	birikime	birikim-e	Stem-dat	40
bitkilerden	bitkilerden	bitki-ler-den	Stem-pl-abl	40
boɰɑzɯn	boğazın	boɰɑz-ɯn	Stem-gen	40
boruuun	borusunun	boru-u-un	Stem-p3s-gen	40
bojɑɯn	boyanın	bojɑ-ɯn	Stem-gen	40
bojundɑki	boyundaki	bojun-dɑ-ki	Stem-loc-ki	40
brɑnʃtɑ	branşta	brɑnʃ-tɑ	Stem-loc	40
buluntulɑr	buluntular	buluntu-lɑr	Stem-pl	40
ʤɑnlɑnmɑ	canlanma	ʤɑn-lɑn-mɑ	Stem-lan-vn:inf	40
ʤoɰrɑfjɑɯn	coğrafyanın	ʤoɰrɑfjɑ-ɯn	Stem-gen	40
dønyt	dönüt	dønyt	Stem	40
dønemleriin	dönemlerinin	dønem-ler-i-in	Stem-pl-p3s-gen	40
dyzenleri	düzenleri	dyzen-ler-i	Stem-pl-p3s	40
dɑrɑlɑn	daralan	dɑrɑl-ɑn	Stem-part:pres	40
dɑjɑnɯʃmɑɯn	dayanışmanın	dɑjɑnɯʃmɑ-ɯn	Stem-gen	40
delegei	delegesi	delege-i	Stem-p3s	40
deneklerin	deneklerin	denek-ler-in	Stem-pl-gen	40
dernekleriin	derneklerinin	dernek-ler-i-in	Stem-pl-p3s-gen	40
devletlerde	devletlerde	devlet-ler-de	Stem-pl-loc	40
devrɑlɑn	devralan	devrɑl-ɑn	Stem-part:pres	40
dinlenen	dinlenen	dinlen-en	Stem-part:pres	40
dinleiʤilere	dinleyicilere	din-le-iʤi-ler-e	Stem-la-yici-pl-dat	40
divɑnɯɯn	divanının	divɑn-ɯ-ɯn	Stem-p3s-gen	40
doɰɑdɑn	doğadan	doɰɑ-dɑn	Stem-abl	40
doɰumɑ	doğuma	doɰum-ɑ	Stem-dat	40
drenɑʒɯ	drenajı	drenɑʒ-ɯ	Stem-p3s	40
elemɑnɯn	elemanın	elemɑn-ɯn	Stem-gen	40
enerʒiden	enerjiden	enerʒi-den	Stem-abl	40
enerʒili	enerjili	enerʒi-li	Stem-li	40
enlem	enlem	enlem	Stem	40
erk	erk	erk	Stem	40
esirgeme	esirgeme	esirge-me	Stem-vn:inf	40
etytleri	etütleri	etyt-ler-i	Stem-pl-p3s	40
evnizi	evinizi	ev-niz-i	Stem-p2p-acc	40
ejlemlerde	eylemlerde	ejlem-ler-de	Stem-pl-loc	40
fɑturɑlɑrnɯzɯ	faturalarınızı	fɑturɑ-lɑr-nɯz-ɯ	Stem-pl-p2p-acc	40
fijɑttɑn	fiyattan	fijɑt-tɑn	Stem-abl	40
folik	folik	folik	Stem	40
fuzuli	fuzuli	fuzuli	Stem	40
gørevm	görevim	gørev-m	Stem-p1s	40
gørmeme	görmemek	gør-me-me	Stem-neg-vn:inf	40
gøstermeden	göstermeden	gøster-me-den	Stem-vn:inf-abl	40
gynɑjdɯn	günaydın	gynɑjdɯn	Stem	40
gɑrɑntør	garantör	gɑrɑntør	Stem	40
gɑjrimenkuller	gayrimenkuller	gɑjrimenkul-ler	Stem-pl	40
gɑzetelerden	gazetelerden	gɑzete-ler-den	Stem-pl-abl	40
genʧlerden	gençlerden	genʧ-ler-den	Stem-pl-abl	40
getirmein	getirmenin	getir-me-in	Stem-vn:inf-gen	40
girenlere	girenlere	gir-en-ler-e	Stem-part:pres-pl-dat	40
girenlerin	girenlerin	gir-en-ler-in	Stem-part:pres-pl-gen	40
giriʃimlere	girişimlere	giriʃim-ler-e	Stem-pl-dat	40
giriʃimsel	girişimsel	giriʃim-sel	Stem-sal	40
hɑlihɑzɯr	halihazır	hɑlihɑzɯr	Stem	40
hɑpishɑne	hapishane	hɑpishɑne	Stem	40
hɑrem	harem	hɑrem	Stem	40
hɑstɑhɑne	hastahane	hɑstɑhɑne	Stem	40
hɑzɯrlɯklɑrɯn	hazırlıkların	hɑzɯrlɯk-lɑr-ɯn	Stem-pl-gen	40
iʧleri	içleri	iʧ-ler-i	Stem-pl-p3s	40
iʃlernizi	işlerinizi	iʃ-ler-niz-i	Stem-pl-p2p-acc	40
idɑrelere	idarelere	idɑre-ler-e	Stem-pl-dat	40
ilʧelerden	ilçelerden	ilʧe-ler-den	Stem-pl-abl	40
ilden	ilden	il-den	Stem-abl	40
ilerii	ilerisi	ileri-i	Stem-p3s	40
iliʃkilermiz	ilişkilerimiz	iliʃki-ler-miz	Stem-pl-p1p	40
istikrɑrɑ	istikrara	istikrɑr-ɑ	Stem-dat	40
kɯʃlɑr	kışlar	kɯʃ-lɑr	Stem-pl	40
kɯlɑvuzluk	kılavuzluk	kɯlɑvuz-luk	Stem-lik	40
kɯjɯm	kıyım	kɯjɯm	Stem	40
kɑdɯndɑn	kadından	kɑdɯn-dɑn	Stem-abl	40
kɑdrolɑrɯɯn	kadrolarının	kɑdro-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	40
kɑnɯtlɑrɯ	kanıtları	kɑnɯt-lɑr-ɯ	Stem-pl-p3s	40
kɑnserlerin	kanserlerin	kɑnser-ler-in	Stem-pl-gen	40
kɑrʃɯnɯzdɑ	karşınızda	kɑrʃɯ-nɯz-dɑ	Stem-p2p-loc	40
kɑrɑkterin	karakterin	kɑrɑkter-in	Stem-gen	40
kɑsɯt	kasıt	kɑsɯt	Stem	40
kɑvɑnoz	kavanoz	kɑvɑnoz	Stem	40
kɑjɑʧlɑrɯn	kayaçların	kɑjɑʧ-lɑr-ɯn	Stem-pl-gen	40
kɑjɑɑ	kayaya	kɑjɑ-ɑ	Stem-dat	40
kɑjbetmee	kaybetmeye	kɑjbet-me-e	Stem-vn:inf-dat	40
kɑzɯk	kazık	kɑzɯk	Stem	40
kendimden	kendimden	kendi-m-den	Stem-p1s-abl	40
kesitleri	kesitleri	kesit-ler-i	Stem-pl-acc	40
kimselerden	kimselerden	kimse-ler-den	Stem-pl-abl	40
koʃuu	koşusu	koʃu-u	Stem-p3s	40
kokɑin	kokain	kokɑin	Stem	40
komʃumuz	komşumuz	komʃu-muz	Stem-p1p	40
komutɑnlɑr	komutanlar	komutɑn-lɑr	Stem-pl	40
konsɑntrɑsjonuun	konsantrasyonunun	konsɑntrɑsjon-u-un	Stem-p3s-gen	40
konuʃ	konuş	kon-uʃ	Stem-vn:yis	40
konutɑ	konuta	konut-ɑ	Stem-dat	40
korkulɑr	korkular	korku-lɑr	Stem-pl	40
kojɑrlɑr	koyarlar	kojɑr-lɑr	Stem-pl	40
krɑlɯn	kralın	krɑl-ɯn	Stem-gen	40
krɑvɑt	kravat	krɑvɑt	Stem	40
kuʃɑktɑn	kuşaktan	kuʃɑk-tɑn	Stem-abl	40
kumsɑl	kumsal	kumsɑl	Stem	40
kurɑbilme	kurabilmek	kur-ɑbil-me	Stem-abil-vn:inf	40
kurslɑrdɑ	kurslarda	kurs-lɑr-dɑ	Stem-pl-loc	40
kuruluʃmuz	kuruluşumuz	kuruluʃ-muz	Stem-p1p	40
kuzejdeki	kuzeydeki	kuzej-de-ki	Stem-loc-ki	40
levhɑlɑrɯn	levhaların	levhɑ-lɑr-ɯn	Stem-pl-gen	40
limɑnlɑr	limanlar	limɑn-lɑr	Stem-pl	40
lisɑnslɑnmɑ	lisanslanma	lisɑns-lɑn-mɑ	Stem-lan-vn:inf	40
liseden	liseden	lise-den	Stem-abl	40
listelerin	listelerin	liste-ler-in	Stem-pl-gen	40
mykellefijet	mükellefiyet	mykellefijet	Stem	40
mykelleflerin	mükelleflerin	mykellef-ler-in	Stem-pl-gen	40
mylkijete	mülkiyete	mylkijet-e	Stem-dat	40
mymessili	mümessili	mymessil-i	Stem-p3s	40
mytɑreke	mütareke	mytɑreke	Stem	40
mɑɰɑrɑɯ	mağarası	mɑɰɑrɑ-ɯ	Stem-p3s	40
mɑɰɑzɑdɑ	mağazada	mɑɰɑzɑ-dɑ	Stem-loc	40
mɑʤun	macun	mɑʤun	Stem	40
mɑhɑllelerde	mahallelerde	mɑhɑlle-ler-de	Stem-pl-loc	40
mɑjmun	maymun	mɑjmun	Stem	40
metinden	metinden	metin-den	Stem-abl	40
metrɑʒlɯ	metrajlı	metrɑʒ-lɯ	Stem-li	40
mimɑrlɑrɯ	mimarları	mimɑr-lɑr-ɯ	Stem-pl-p3s	40
mizɑn	mizan	mizɑn	Stem	40
muɑjenein	muayenenin	muɑjene-in	Stem-gen	40
obʒeler	objeler	obʒe-ler	Stem-pl	40
odɑklɑrɯ	odakları	odɑk-lɑr-ɯ	Stem-pl-p3s	40
onɑjɯɯn	onayının	onɑj-ɯ-ɯn	Stem-p3s-gen	40
opsijonun	opsiyonun	opsijon-un	Stem-gen	40
ordudɑ	orduda	ordu-dɑ	Stem-loc	40
orgɑnizmɑlɑr	organizmalar	orgɑnizmɑ-lɑr	Stem-pl	40
otojolu	otoyolu	otojol-u	Stem-acc	40
oturumlɑr	oturumlar	oturum-lɑr	Stem-pl	40
oturumun	oturumun	oturum-un	Stem-gen	40
ojunlɑrɯɯn	oyunlarının	ojun-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	40
pɯnɑrm	pınarım	pɯnɑr-m	Stem-p1s	40
pɑrɑʃyty	paraşütü	pɑrɑʃyt-y	Stem-p3s	40
pɑrktɑ	parkta	pɑrk-tɑ	Stem-loc	40
pɑtronu	patronu	pɑtron-u	Stem-p3s	40
penʤerelerin	pencerelerin	penʤere-ler-in	Stem-pl-gen	40
pijɑsɑlɑrɯɯn	piyasalarının	pijɑsɑ-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	40
plɑketi	plaketi	plɑket-i	Stem-p3s	40
plɑtformun	platformun	plɑtform-un	Stem-gen	40
pozisjonlɑr	pozisyonlar	pozisjon-lɑr	Stem-pl	40
psikososjɑl	psikososyal	psikososjɑl	Stem	40
resimden	resimden	resim-den	Stem-abl	40
rejhɑn	reyhan	rejhɑn	Stem	40
ritim	ritim	ritim	Stem	40
søkyp	söküp	søk-yp	Stem-cv:ip	40
søjlentiler	söylentiler	søjlenti-ler	Stem-pl	40
syzgeʧ	süzgeç	syzgeʧ	Stem	40
sɑkɯnʤɑlɑrɯ	sakıncaları	sɑkɯnʤɑ-lɑr-ɯ	Stem-pl-acc	40
sɑkɑl	sakal	sɑkɑl	Stem	40
sɑmimijet	samimiyet	sɑmimijet	Stem	40
sɑntim	santim	sɑntim	Stem	40
sɑntrɑlɯn	santralın	sɑntrɑl-ɯn	Stem-gen	40
sɑtɯʃɯn	satışın	sɑt-ɯʃ-ɯn	Stem-vn:yis-gen	40
sɑtɯʃɯɯn	satışının	sɑt-ɯʃ-ɯ-ɯn	Stem-vn:yis-p3s-gen	40
sɑvɑʃlɑrɑ	savaşlara	sɑvɑʃ-lɑr-ɑ	Stem-pl-dat	40
sɑjɯdɑn	sayıdan	sɑjɯ-dɑn	Stem-abl	40
seʧtikten	seçtikten	seʧ-tik-ten	Stem-vn:past-abl	40
silindirli	silindirli	silindir-li	Stem-li	40
sistemmizin	sistemimizin	sistem-miz-in	Stem-p1p-gen	40
sijɑsilerin	siyasilerin	sijɑsi-ler-in	Stem-pl-gen	40
